form	type	name	shortHint	longHint
TWizardForm	TSpeedButton	secondaryBranchingNo	(none)	"Primary branching is branching off the plant's main stem (the one that comes out of the ground). Secondary branching is branching off branches that are not the main stem. Actually, we lump secondary branching here with tertiary (and so on) branching, so the question is more like 'Should non-primary branching be allowed?'"
TWizardForm	TSpeedButton	branchAngleSmall	(none)	?branchAngleLarge
TWizardForm	TSpeedButton	branchAngleMedium	(none)	?branchAngleLarge
TWizardForm	TSpeedButton	branchAngleLarge	(none)	Each branch will make this angle with the stem it grows out of.
TWizardForm	TImage	arrowLeavesAlternateOpposite	(none)	(none)
TWizardForm	TImage	arrowBranching	(none)	(none)
TWizardForm	TImage	arrowSecondaryBranching	(none)	(none)
TWizardForm	TImage	arrowBranchAngle	(none)	(none)
TWizardForm	TImage	arrowCurviness	(none)	(none)
TWizardForm	TImage	arrowInternodeLength	(none)	(none)
TWizardForm	TImage	arrowLeafScale	(none)	(none)
TWizardForm	TSpeedButton	leafScaleTiny	(none)	?leafScaleHuge
TWizardForm	TSpeedButton	leafScaleSmall	(none)	?leafScaleHuge
TWizardForm	TSpeedButton	leafScaleMedium	(none)	?leafScaleHuge
TWizardForm	TSpeedButton	leafScaleLarge	(none)	?leafScaleHuge
TWizardForm	TSpeedButton	leafScaleHuge	(none)	"Leaf scale is influenced by the size of the 3D object the leaf is drawn from, so the same scale can produce different-sized leaves with different 3D objects. "
TWizardForm	TImage	arrowLeafAngle	(none)	(none)
TWizardForm	TSpeedButton	leafAngleSmall	(none)	?leafAngleLarge
TWizardForm	TSpeedButton	leafAngleMedium	(none)	?leafAngleLarge
TWizardForm	TSpeedButton	leafAngleLarge	(none)	"Most grasses have a very small leaf angle, but some ground-cover plants have large leaf angles, with the leaves at greater than a right angle to the stem."
TWizardForm	TImage	arrowPetioleLength	(none)	(none)
TWizardForm	TSpeedButton	petioleVeryShort	(none)	?petioleLong
TWizardForm	TSpeedButton	petioleShort	(none)	?petioleLong
TWizardForm	TSpeedButton	petioleMedium	(none)	?petioleLong
TWizardForm	TSpeedButton	petioleLong	(none)	"Petioles can be very short (as in sessile leaves) or long. For example, the part of celery we eat is the leaf petioles."
TWizardForm	TSpeedButton	petioleVeryLong	(none)	?petioleLong
TWizardForm	TImage	arrowLeafTdos	(none)	(none)
TWizardForm	TSpeedButton	petalsOne	(none)	?petalsFive
TWizardForm	TSpeedButton	petalsThree	(none)	?petalsFive
TWizardForm	TSpeedButton	petalsFour	(none)	?petalsFive
TWizardForm	TSpeedButton	petalsFive	(none)	"A large number of flowers have four or five petals. Some flowers have two rows of petals; we don't simulate that complexity here, but you can increase the number of petals to make the flowers look more complicated. Be careful not to confuse a large number of petals with a composite (head) inflorescence such as in a daisy; for that type of inflorescence each 'petal' is a whole flower."
TWizardForm	TSpeedButton	petalsTen	(none)	?petalsFive
TWizardForm	TSpeedButton	petalScaleTiny	(none)	?petalScaleHuge
TWizardForm	TSpeedButton	petalScaleSmall	(none)	?petalScaleHuge
TWizardForm	TSpeedButton	petalScaleMedium	(none)	?petalScaleHuge
TWizardForm	TSpeedButton	petalScaleLarge	(none)	?petalScaleHuge
TWizardForm	TSpeedButton	petalScaleHuge	(none)	"Petal scale is influenced by the size of the 3D object the petal is drawn from, so the same scale can produce different-sized petals with different 3D objects. "
TWizardForm	TImage	arrowPetalTdos	(none)	(none)
TWizardForm	TImage	arrowPetalsNumber	(none)	(none)
TWizardForm	TImage	arrowPetalScale	(none)	(none)
TWizardForm	TImage	arrowInflorFlowers	(none)	(none)
TWizardForm	TImage	arrowInflorShape	(none)	(none)
TWizardForm	TSpeedButton	inflorFlowersOne	(none)	?inflorFlowersFive
TWizardForm	TSpeedButton	inflorFlowersTwo	(none)	?inflorFlowersFive
TWizardForm	TSpeedButton	inflorFlowersThree	(none)	?inflorFlowersFive
TWizardForm	TSpeedButton	inflorFlowersFive	(none)	"The more flowers in an inflorescence, the longer the plant will take to draw."
TWizardForm	TSpeedButton	inflorFlowersTen	(none)	?inflorFlowersFive
TWizardForm	TSpeedButton	inflorFlowersTwenty	(none)	?inflorFlowersFive
TWizardForm	TSpeedButton	inflorShapeSpike	(none)	?inflorShapeCluster
TWizardForm	TSpeedButton	inflorShapeRaceme	(none)	?inflorShapeCluster
TWizardForm	TSpeedButton	inflorShapePanicle	(none)	?inflorShapeCluster
TWizardForm	TSpeedButton	inflorShapeUmbel	(none)	?inflorShapeCluster
TWizardForm	TSpeedButton	inflorShapeHead	(none)	?inflorShapeCluster
TWizardForm	TSpeedButton	apicalInflorsNone	(none)	?apicalInflorsFive
TWizardForm	TSpeedButton	apicalInflorsOne	(none)	?apicalInflorsFive
TWizardForm	TSpeedButton	apicalInflorsTwo	(none)	?apicalInflorsFive
TWizardForm	TSpeedButton	apicalInflorsThree	(none)	?apicalInflorsFive
TWizardForm	TSpeedButton	apicalInflorsFive	(none)	"You must choose an absolute number of apical inflorescences to place on the plant, if there are enough apical meristems available. "
TWizardForm	TImage	arrowApicalInflorsNumber	(none)	(none)
TWizardForm	TSpeedButton	axillaryInflorsNone	(none)	?axillaryInflorsFive
TWizardForm	TSpeedButton	axillaryInflorsThree	(none)	?axillaryInflorsFive
TWizardForm	TSpeedButton	axillaryInflorsFive	(none)	"You must choose an absolute number of axillary inflorescences to place on the plant, if there are enough axillary meristems available."
TWizardForm	TSpeedButton	axillaryInflorsTen	(none)	?axillaryInflorsFive
TWizardForm	TSpeedButton	axillaryInflorsTwenty	(none)	?axillaryInflorsFive
TWizardForm	TImage	arrowAxillaryInflorsNumber	(none)	(none)
TWizardForm	TSpeedButton	apicalStalkVeryShort	(none)	?apicalStalkLong
TWizardForm	TSpeedButton	apicalStalkShort	(none)	?apicalStalkLong
TWizardForm	TSpeedButton	apicalStalkMedium	(none)	?apicalStalkLong
TWizardForm	TSpeedButton	apicalStalkLong	(none)	The primary stem of an apical inflorescence is the part of the inflorescence before individual flower stems appear. On some plants with short internodes (such as lilies) the apical inflorescence stem is usually very long.
TWizardForm	TSpeedButton	apicalStalkVeryLong	(none)	?apicalStalkLong
TWizardForm	TImage	arrowApicalStalk	(none)	(none)
TWizardForm	TImage	arrowAxillaryStalk	(none)	(none)
TWizardForm	TSpeedButton	axillaryStalkVeryShort	(none)	?axillaryStalkLong
TWizardForm	TSpeedButton	axillaryStalkShort	(none)	?axillaryStalkLong
TWizardForm	TSpeedButton	axillaryStalkMedium	(none)	?axillaryStalkLong
TWizardForm	TSpeedButton	axillaryStalkLong	(none)	The primary stems of axillary inflorescences are not usually as long as those of apical inflorescences.
TWizardForm	TSpeedButton	axillaryStalkVeryLong	(none)	?axillaryStalkLong
TWizardForm	TImage	arrowFruitTdo	(none)	(none)
TWizardForm	TImage	arrowFruitSectionsNumber	(none)	(none)
TWizardForm	TImage	arrowFruitScale	(none)	(none)
TWizardForm	TSpeedButton	fruitSectionsOne	(none)	?fruitSectionsFive
TWizardForm	TSpeedButton	fruitSectionsThree	(none)	?fruitSectionsFive
TWizardForm	TSpeedButton	fruitSectionsFour	(none)	?fruitSectionsFive
TWizardForm	TSpeedButton	fruitSectionsFive	(none)	You can think of fruit sections as like the sections of an orange.
TWizardForm	TSpeedButton	fruitSectionsTen	(none)	?fruitSectionsFive
TWizardForm	TSpeedButton	fruitScaleTiny	(none)	?fruitScaleHuge
TWizardForm	TSpeedButton	fruitScaleSmall	(none)	?fruitScaleHuge
TWizardForm	TSpeedButton	fruitScaleMedium	(none)	?fruitScaleHuge
TWizardForm	TSpeedButton	fruitScaleLarge	(none)	?fruitScaleHuge
TWizardForm	TSpeedButton	fruitScaleHuge	(none)	"The size of the 3D objects drawn on the plant reflect the growth of the fruit. Fruit scale is influenced by the size of the 3D object the fruit section is drawn from, so the same scale can produce different-sized fruits with different 3D objects. "
TWizardForm	TImage	arrowLeaflets	(none)	(none)
TWizardForm	TImage	arrowLeafletsShape	(none)	(none)
TWizardForm	TSpeedButton	leafletsOne	(none)	?leafletsFive
TWizardForm	TSpeedButton	leafletsThree	(none)	?leafletsFive
TWizardForm	TSpeedButton	leafletsFour	(none)	?leafletsFive
TWizardForm	TSpeedButton	leafletsFive	(none)	"Simple leaves have only one part. Compound leaves are made up of two or more leaflets around a central stalk. For example, oak leaves are simple (though sometimes deeply lobed), but walnut leaves are compound."
TWizardForm	TSpeedButton	leafletsSeven	(none)	?leafletsFive
TWizardForm	TSpeedButton	leafletsPinnate	(none)	?leafletsPalmate
TWizardForm	TSpeedButton	leafletsPalmate	(none)	"Pinnate compound leaves are feather-shaped, and palmate compound leaves are hand-shaped."
TWizardForm	TImage	arrowLeafletsSpacing	(none)	(none)
TWizardForm	TSpeedButton	leafletSpacingClose	(none)	Clovers are an example of plants with compound leaves but extremely tight spacing between the leaflets. Tomato plants have more widely spaced compound leaves.
TWizardForm	TSpeedButton	leafletSpacingMedium	(none)	?leafletSpacingClose
TWizardForm	TSpeedButton	leafletSpacingFar	(none)	?leafletSpacingClose
TWizardForm	TDrawGrid	leafTdosDraw	(none)	(none)
TWizardForm	TDrawGrid	petalTdosDraw	(none)	(none)
TWizardForm	TDrawGrid	sectionTdosDraw	(none)	(none)
TWizardForm	TButton	defaultChoices	(none)	Set all wizard choices to 'factory defaults' creating a generic plant.
TWizardForm	TImage	arrowInternodeWidth	(none)	(none)
TWizardForm	TSpeedButton	internodeWidthVeryThin	(none)	?internodeWidthMedium
TWizardForm	TSpeedButton	internodeWidthThin	(none)	?internodeWidthMedium
TWizardForm	TSpeedButton	internodeWidthMedium	(none)	Plants with thick internodes are usually either very large plants (like corn or sunflowers) or very short plants with thick stems (like broccoli or lettuce).
TWizardForm	TSpeedButton	internodeWidthThick	(none)	?internodeWidthMedium
TWizardForm	TSpeedButton	internodeWidthVeryThick	(none)	?internodeWidthMedium
TWizardForm	TSpeedButton	inflorShapeCluster	(none)	These shape choices set some parameters as to the general shape of the inflorescence. You may need to do some fine-tuning with inflorescence and flower drawing parameters to get exactly the inflorescence shape you want.
TWizardForm	TImage	arrowInflorThickness	(none)	(none)
TWizardForm	TSpeedButton	inflorWidthVeryThin	(none)	?inflorWidthMedium
TWizardForm	TSpeedButton	inflorWidthThin	(none)	?inflorWidthMedium
TWizardForm	TSpeedButton	inflorWidthMedium	(none)	Usually only inflorescences with a lot of flowers (like head inflorescences) have thick stems.
TWizardForm	TSpeedButton	inflorWidthThick	(none)	?inflorWidthMedium
TWizardForm	TSpeedButton	inflorWidthVeryThick	(none)	?inflorWidthMedium
TWizardForm	TImage	arrowPetalColor	(none)	(none)
TWizardForm	TPanel	petalColor	Click to change	Click here to change the flower petal color.
TWizardForm	TPanel	fruitColor	Click to change	Click here to change the fruit color. 
TWizardForm	TImage	arrowFruitColor	(none)	(none)
TWizardForm	TPanel	hiddenPicturesPanel	(none)	(none)
TWizardForm	TImage	startPageImage	(none)	(none)
TWizardForm	TImage	meristemsPageImage	(none)	(none)
TWizardForm	TImage	internodesPageImage	(none)	?internodesLong
TWizardForm	TImage	leavesPageImage	(none)	(none)
TWizardForm	TImage	compoundLeavesPageImage	(none)	(none)
TWizardForm	TImage	flowersPageImage	(none)	(none)
TWizardForm	TImage	inflorDrawPageImage	(none)	(none)
TWizardForm	TImage	inflorPlacePageImage	(none)	(none)
TWizardForm	TImage	fruitsPageImage	(none)	(none)
TWizardForm	TImage	finishPageImage	(none)	(none)
TWizardForm	TImage	arrowShowFruits	(none)	(none)
TWizardForm	TRadioButton	showFruitsYes	(none)	Click this radio button to show fruits on your plant.
TWizardForm	TRadioButton	showFruitsNo	(none)	Click this radio button to grow your plant from seed to maturity without showing any fruits.
TWizardForm	TButton	randomizePlant	(none)	"Change the random number seed of this plant. The random number seed affects plant angles and branching patterns. When you click Finish, whatever plant you have created here will be copied with its random number seed intact."
TWizardForm	TImage	inflorDrawPageImageDisabled	(none)	(none)
TWizardForm	TImage	flowersPageImageDisabled	(none)	(none)
TWizardForm	TImage	fruitsPageImageDisabled	(none)	(none)
TWizardForm	TSpeedButton	turnLeft	Turn left	Turn the plant in the preview to the left.
TWizardForm	TSpeedButton	turnRight	Turn right	Turn the plant in the preview to the right.
TWizardForm	TDrawGrid	progressDrawGrid	(none)	(none)
TWizardForm	TSpeedButton	helpButton	(none)	Get help with using the wizard.
TWizardForm	TSpeedButton	changeTdoLibrary	(none)	"Choose another 3D object library file to select 3D objects from (for leaves, flowers and fruit)."
TWizardForm	TImage	startPicture	(none)	(none)
TDebugForm	TListBox	DebugList	List of messages	Messages from the program. Messages can be input problems or numerical exceptions encountered when growing plants or drawing. See the help system for an explanation of messages.
TDebugForm	TButton	Close	(none)	Close the messages window.
TDebugForm	TButton	saveListAs	(none)	Save the current list of messages shown in this window to a text file for technical support.
TDebugForm	TButton	clearList	(none)	Clear the current list of messages shown in this window.
TDebugForm	TPanel	optionsPanel	(none)	(none)
TDebugForm	TCheckBox	showOnExceptionCheckBox	(none)	Check this box to open the messages window each time a new message is written to it. Note that if you uncheck this box you will not be notified of new messages.
TDebugForm	TCheckBox	logToFile	(none)	Check this box to write each message as it occurs to a log file. (The log file will appear in the directory the program file is in and will be called errors.nex.)
TDebugForm	TSpeedButton	helpButton	(none)	Get help with messages.
TDebugForm	TButton	supportButton	(none)	List some information that might be needed for technical support if you have a problem with PlantStudio.
TChooseDXFColorForm	TDrawGrid	colorsDrawGrid	(none)	(none)
TChooseDXFColorForm	TButton	Close	(none)	Close this window and save your change to the DXF color you selected. You can also make a color selection and close the window by double-clicking on a color in the grid.
TChooseDXFColorForm	TButton	cancel	(none)	Close this window without saving your change to the DXF color you selected.
TNoteEditForm	TButton	OK	(none)	Close this window and save the changes you have made to this note.
TNoteEditForm	TButton	cancel	(none)	Close this window without saving your changes.
TNoteEditForm	TMemo	noteEditMemo	(none)	(none)
TNoteEditForm	TCheckBox	wrapLines	(none)	Check this box to automatically wrap lines in this note; uncheck it to wrap the lines yourself using the Enter key.
TNoteEditForm	TSpeedButton	helpButton	(none)	Get help on editing plant notes.
TTimeSeriesForm	TDrawGrid	grid	(none)	(none)
TTimeSeriesForm	TPanel	emptyWarningPanel	(none)	(none)
TOptionsForm	TButton	Close	(none)	Close this window and save your changes to program preferences.
TOptionsForm	TButton	cancel	(none)	Close this window and don't save your changes to program preferences.
TOptionsForm	TCheckBox	drawWithOpenGL	(none)	(none)
TOptionsForm	TGroupBox	wholeProgramBox	(none)	(none)
TOptionsForm	TPanel	backgroundColor	Click to change	"Click here to change the color drawn behind the plants in all drawing areas and when copying, saving and printing pictures."
TOptionsForm	TCheckBox	showPlantDrawingProgress	(none)	"Check this box to update the drawing progress bars on the main window, breeder and time series window when redrawing plants. The progress bars do slow down the drawing a bit, but they give you feedback."
TOptionsForm	TGroupBox	GroupBox1	(none)	(none)
TOptionsForm	TPanel	firstSelectionRectangleColor	Click to change	"Click here to change the color used to draw a selection rectangle around the focused plant in the main window. For help with the distinction between the focused plant and other selected plants, see the help system."
TOptionsForm	TPanel	multiSelectionRectangleColor	Click to change	Click here to change the color used to draw a selection rectangle around all selected plants except the focused plant.
TOptionsForm	TGroupBox	GroupBox2	(none)	(none)
TOptionsForm	TSpinEdit	rotationIncrement	(none)	"This is the number of degrees plants rotate when you click on the up or down arrows in the main window Rotation panel to change X, Y and Z rotations. It is also used when you click without dragging to rotate a plant in the X direction."
TOptionsForm	TSpinEdit	nudgeDistance	(none)	You can 'nudge' selected plants in the main window by holding down the Control key and pressing the keyboard arrow keys. This is how far in pixels you are moving the selected plants when you do this.
TOptionsForm	TGroupBox	GroupBox6	(none)	(none)
TOptionsForm	TCheckBox	useMetricUnits	(none)	Check this box to show metric units as the first choice when parameter panels are opened. Uncheck this box to show English units as the first choice when parameter panels are opened.
TOptionsForm	TSpinEdit	parametersFontSize	(none)	"If you have a hard time seeing the words in the parameter panels, you can increase the font size here."
TOptionsForm	TGroupBox	GroupBox7	(none)	(none)
TOptionsForm	TCheckBox	openMostRecentFileAtStart	(none)	Check this box to open the file you most recently had open the next time you start the program. This is useful if you are often working on the same files. Uncheck this box to always start the program with a new file.
TOptionsForm	TCheckBox	ignoreWindowSettingsInFile	(none)	"Check this box if you want the window to look the same no matter what window settings are saved in the file. The settings saved are whether the drawing area is shown on the top or side, and whether you see one plant or all visible plants at a time. Uncheck this box to read the window settings from the file and make the main window look like what is saved there."
TOptionsForm	TSpinEdit	pauseBeforeHint	(none)	"How long the program will wait after you hold the mouse still before it displays a hint (this is a hint). If you don't like hints, set this to a large number like 60 seconds."
TOptionsForm	TSpinEdit	pauseDuringHint	(none)	"How long hints will stay on the screen. If you find you can't read the hints before they disappear (especially long hints), make this number larger. If you are sure you won't be using long hints, you might want to set this to a smaller number."
TOptionsForm	TSpeedButton	helpButton	(none)	Get help with choosing these preferences.
TOptionsForm	TSpinEdit	resizeKeyUpMultiplierPercent	(none)	You can resize selected plants in the main window by holding down the Control and Shift keys and pressing the keyboard arrow keys. This is how much you are resizing the selected plants (as a percentage of the current plant scale) when you do this.
TOptionsForm	TGroupBox	mainWindowDrawingOptionsBox	(none)	(none)
TOptionsForm	TButton	customDrawOptions	(none)	Click here to customize the drawing options. The window that appears will be the same as when you choose the Draw Using > Custom option on the Options menu.
TOptionsForm	TPanel	transparentColor	Click to change	"Click here to change the color used as the transparent color in plant bitmaps. Any pixel drawn with this color will show up as transparent in the main window. This should be a color that never appears in your plants, such as pure black or pure white."
TOptionsForm	TSpinEdit	memoryLimitForPlantBitmaps_MB	(none)	"This is the maximum amount of memory the program will use for plant bitmaps. If the total memory taken up by plant bitmaps exceeds this amount, the program will drop all plant bitmaps and draw plants directly on the screen (there is nothing wrong with drawing directly on the screen; it's just slower). SET THIS NUMBER CAREFULLY. You should make sure you can devote at least this much memory plus a megabyte or two to PlantStudio. See the help system for details."
TOptionsForm	TPanel	Panel1	(none)	(none)
TOptionsForm	TImage	Image1	(none)	(none)
TOptionsForm	TSpinEdit	pasteRectSize	(none)	This is how large a plant appears (width and height) when you paste it into the main window using Edit > Paste From Text. 
TOptionsForm	TGroupBox	GroupBox4	(none)	(none)
TOptionsForm	TPanel	ghostingColor	Click to change	"Click here to change the color used to draw plant parts that are hidden by posing. If the menu option 'Ghost Hidden Parts' is turned off, this color won't be used because the hidden parts will be completely invisible. Usually a gray or off-white color is a good 'ghost' color."
TOptionsForm	TPanel	nonHiddenPosedColor	Click to change	"Click here to change the color used to draw plant parts that are posed but are not hidden. A good color to choose for this is some color you don't often see in plants, like blue."
TOptionsForm	TPanel	selectedPosedColor	(none)	"Click here to change the color used to draw the plant part that is posed, not hidden, and SELECTED. This will be the plant part whose posing options you can see in the Posing panel. A good color to choose for this is some bright color like red."
TOptionsForm	TGroupBox	GroupBox5	(none)	(none)
TOptionsForm	TSpinEdit	undoLimit	(none)	"The number of actions that will be kept in the undo list, no matter how much memory they take up. Actions like selecting plants and changing magnification take up very little memory, so you will probably want to set a high absolute limit on the number of undoable actions allowed."
TOptionsForm	TSpinEdit	undoLimitOfPlants	(none)	"The number of plant copies that will be kept in the undo list. Actions such as cut and paste make copies of plants. Plants  take anywhere from 5 to 100 kilobytes of memory. So for example, if you copy ten plants three times, you will have thirty plants in your undo list (up to 3 MB). To be conservative, set this number at about the amount of memory you think you have available (in kilobytes) divided by 200."
TOptionsForm	TSpinEdit	resizeRectSize	(none)	"If you are having a hard time clicking on the resizing square at the upper right hand corner of plant selection rectangles, increase the number here to make the resizing square larger."
TProgramInfoForm	TButton	Close	(none)	Close this window.
TProgramInfoForm	TButton	saveListAs	(none)	Save this list of program information to a text file.
TProgramInfoForm	TButton	copyToClipboard	(none)	Copy the contents of the program information list to the clipboard so you can paste it into your text editor and email it to us for technical support.
TProgramInfoForm	TSpeedButton	helpButton	(none)	Get help on this program information window.
TProgramInfoForm	TMemo	infoList	(none)	(none)
TTdoEditorForm	TButton	ok	(none)	Close the 3D object editor and save the changes you have made to this 3D object.
TTdoEditorForm	TButton	cancel	(none)	Close the 3D object editor without saving any changes you made to the 3D object selected.
TTdoEditorForm	TButton	undoLast	(none)	Undo the last action you did. This button works with the redo button just like undo/redo commands in a menu.
TTdoEditorForm	TButton	redoLast	(none)	Redo the first available action that was previously undone. This button works with the undo button just like undo/redo commands in a menu.
TTdoEditorForm	TPanel	toolbarPanel	(none)	(none)
TTdoEditorForm	TSpeedButton	dragCursorMode	Drag mode	"Switch to drag cursor mode, where you can drag triangle points in 3D space. *You can only drag points in the Edit panel on the left.* Click on any existing point to drag it. To drag in the Z direction (into or out of the screen), click with the right mouse button and drag. You won't be able to see Z movement in the Edit panel, but you can see if you have rotated the other drawings in the viewing panels. "
TTdoEditorForm	TSpeedButton	magnifyCursorMode	Magnify mode	"Switch to magnify cursor mode, where you can change the drawing magnification in any of the three panels. Click where you want the center of the magnified area to be, and Shift-click or right-click to reduce instead of magnify. Note that unlike in the main window, you cannot undo changing magnification here."
TTdoEditorForm	TSpeedButton	scrollCursorMode	Scroll mode	"Switch to scroll cursor mode, where you can move the 3D objects around in any of the three panels above. Note that unlike in the main window, you cannot undo scrolling here."
TTdoEditorForm	TSpeedButton	addTrianglePointsCursorMode	Add triangles mode	"Switch to add triangles cursor mode, where you can create new triangles on the 3D object. *You can only drag points in the Edit panel on the left.* To add a new triangle, click in the Edit panel three times. Existing points will 'light up' when you move the cursor over them in this mode. After you set the first point, lines will show you where you are drawing the triangle. If you make a mistake while creating a new triangle, finish the triangle, then click the Undo button to remove it."
TTdoEditorForm	TSpeedButton	removeTriangleCursorMode	Remove triangles mode	"Switch to remove triangle cursor mode, where you can delete triangles from the 3D object. *You can only remove triangles in the Edit panel on the left.*  To remove a triangle, click on it."
TTdoEditorForm	TSpeedButton	flipTriangleCursorMode	Flip triangles mode	"Switch to flip triangle cursor mode, where you can change the orientation of triangles in the 3D object. The program decides which color to draw triangles (the front or back face color) based on the direction of the triangle points: clockwise or counterclockwise. In a front-facing triangle the points are clockwise in order. *You can only flip triangles in the Edit panel on the left.* To change the orientation of a triangle, click on it."
TTdoEditorForm	TSpeedButton	rotateCursorMode	Rotate mode	"Switch to rotate cursor mode, where you can rotate the drawings in each of the two View panels on the right. *You can only rotate the 3D object drawings in the two View panels.* To rotate in X, drag to the left or right. To rotate in Y, drag up or down. To rotate in Z, right-click and drag to the left or right. Note that unlike in the main window, you cannot undo rotating here."
TTdoEditorForm	TPanel	optionsPanel	(none)	(none)
TTdoEditorForm	TCheckBox	fillTriangles	(none)	Check this box to fill all 3D object polygons. Uncheck it to draw the 3D objects as wire frame structures. 
TTdoEditorForm	TSpinEdit	plantParts	(none)	This is the number of 3D objects drawn in the two View panels above. Set this number higher than one if you want to test what a 3D object will look like as a flower petal or fruit section.
TTdoEditorForm	TPanel	picturesPanel	(none)	(none)
TTdoEditorForm	TPanel	verticalSplitter	Drag to size	Click on this line and drag to the left or right to change the size of the areas on the left and right.
TTdoEditorForm	TPanel	horizontalSplitter	Drag to size	Click on this line and drag up or down to change the size of the areas above and below it.
TTdoEditorForm	TCheckBox	drawLines	(none)	Check this box to draw lines around each triangle. Uncheck this box to draw the 3D object without lines between the triangles.
TTdoEditorForm	TButton	writeToDXF	(none)	"Write this 3D object (by itself) out to a 3D file using the DXF file format, which can be read by many 3D drawing programs."
TTdoEditorForm	TButton	renameTdo	(none)	Change the name of the 3D object you are editing.
TTdoEditorForm	TSpinEdit	circlePointSize	(none)	Click the up or down buttons here to change the size of points in the Edit panel above.
TTdoEditorForm	TSpeedButton	helpButton	(none)	Get help with editing 3D objects.
TTdoEditorForm	TSpeedButton	mirrorTdo	Mirror image	"If you want your 3D object to be symmetrical in the X direction (left-right), create one half of the 3D object, make sure the midpoints are lined up with the first point (colored black), then click this button to generate a mirror image of symmetrical triangles on the other side. If you already have two sides and want to redo their symmetry, remove all the triangles on one side and then click this button."
TTdoEditorForm	TSpeedButton	reverseZValues	Reverse	"Sometimes when you make a 3D object it comes out backward, and when you put it on the plant it seems upside-down. This is because you pushed the Z values when you should have pulled. The direction of Z values is hard to keep straight, so if your 3D object turns out backwards, click this button and the 3D object will reverse itself. Try it a few times to see what it does."
TTdoEditorForm	TSpeedButton	centerDrawing	Make 3D object fit into drawing area	Set the magnification for each of the three panels above so that the different drawings of the 3D object fit in each drawing area.
TTdoEditorForm	TSpeedButton	resetRotations	Reset rotations	"Reset the X, Y and Z rotations in each of the two View panels above to zero. Note that unlike in the main window, you cannot undo this action."
TTdoEditorForm	TButton	writeToPOV	(none)	"Write this 3D object (by itself) out to a 3D file using the POV-Ray INC file format, which can be read by the POV-Ray 3D renderer."
TTdoEditorForm	TCheckBox	mirrorHalf	(none)	Check this box to preview what the other half of a symmetrical 3D object will look like before you create the mirror points. Uncheck it to show only the existing points.
TTdoEditorForm	TButton	ReadFromDXF	(none)	Replace the current 3D object with one stored in a DXF file (only 3DFACE entities will be read).
TTdoEditorForm	TSpinEdit	connectionPoint	(none)	Click the up or down buttons here to change which point on the 3D object connects it to the plant stem.
TTdoEditorForm	TButton	clearTdo	(none)	Remove all the points in this 3D object at once. You can undo this action.
TBreederForm	TDrawGrid	plantsDrawGrid	(none)	(none)
TBreederForm	TPanel	emptyWarningPanel	(none)	(none)
TBreederForm	TPanel	breederToolbarPanel	(none)	(none)
TBreederForm	TSpeedButton	variationLow	Vary numbers low	Set breeding variation to low for all numerical parameters.
TBreederForm	TSpeedButton	variationMedium	Vary numbers medium	Set breeding variation to medium for all numerical parameters.
TBreederForm	TSpeedButton	variationCustom	Vary numbers custom	Set breeding variation for numerical parameters to a custom configuration (a breeding options window will appear).
