section	other sections this parameter is in	section order	parameter order	FieldID	name	fieldType	IndexType	unitSet	unitModel	unitMetric	unitEnglish	lowerBound	upperBound	defaultValue	regrow	readOnly	accessString	transferType	hint
Meristems (buds)	3D object scales	2	11	kAxillaryBudScale	Meristem scale at full size	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	FALSE	FALSE	pAxillaryBud.tdoParams.scaleAtFullSize	1 MFD	"The drawing scale of the meristem section 3D object when the meristem is fully grown. On most plants you will not want to see meristems, so you will set this parameter to zero."
Meristems (buds)	Rotations	2	12	kAxillaryBudObject3DXRotationBeforeDraw	Meristem X rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pAxillaryBud.tdoParams.xRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the X dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Meristems (buds)	Rotations	2	13	kAxillaryBudObject3DYRotationBeforeDraw	Meristem Y rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pAxillaryBud.tdoParams.yRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Y dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Meristems (buds)	Rotations	2	14	kAxillaryBudObject3DZRotationBeforeDraw	Meristem Z rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pAxillaryBud.tdoParams.zRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Z dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Meristems (buds)	Colors	2	15	kAxillaryBudFaceColor	Meristem front face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 100 50	FALSE	FALSE	pAxillaryBud.tdoParams.faceColor	1 MFD	The front face (facing in) color for meristem sections.
Meristems (buds)	Colors	2	16	kAxillaryBudBackfaceColor	Meristem back face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 100 50	FALSE	FALSE	pAxillaryBud.tdoParams.backfaceColor	1 MFD	The back face (facing out) color for meristems sections.
Internodes (stems)		3	1	header	Drawing	7 Header	An internode is the section of stem between two successive leaves or branches.												
Internodes (stems)	Colors	3	2	kInternodeFaceColor	Internode color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 100 50	FALSE	FALSE	pInternode.FaceColor	1 MFD	The color of internodes.
Internodes (stems)	Angles	3	3	kInternodeFirstInternodeCurvingIndex	Curving index for first internode	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	10	TRUE	FALSE	pInternode.firstInternodeCurvingIndex	1 MFD	An index of how much the first internode curves. This determines how upright or bent over the plant is.
Internodes (stems)	Angles	3	4	kInternodeCurvingIndex	Curving index for all internodes but first	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	30	TRUE	FALSE	pInternode.curvingIndex	1 MFD	An index of how much stems curve around as they grow. A corn plant would have a curving index close to zero; a cucumber plant would have a larger curving index.
Internodes (stems)		3	5	header	Size	7 Header	"These parameters control how large the internode is, and thus how 'leggy' the plant is. Plants that stay close to the ground (with rosettes) have very short internodes; vines have long internodes."												
Internodes (stems)	Lengths	3	6	kInternodeLengthAtOptimalFinalBiomassAndExpansion_mm	Internode length at optimal biomass	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0	200	60	FALSE	FALSE	pInternode.LengthAtOptimalFinalBiomassAndExpansion_mm	1 MFD	The length of an internode when the internode has the optimal internode biomass and when it has expanded to its full size from water uptake.
Internodes (stems)	Widths	3	7	kInternodeWidthAtOptimalFinalBiomassAndExpansion_mm	Internode width at optimal biomass	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0.1	20	3	FALSE	FALSE	pInternode.WidthAtOptimalFinalBiomassAndExpansion_mm	1 MFD	The width of an internode of this plant when the internode has the optimal internode biomass and when it has expanded to its full size from water uptake.
Internodes (stems)		3	8	header	Creation and growth	7 Header	"The size of any plant part is determined by an 'optimal' size and the actual conditions of growth. Plant parts compete for the available nutrients, as established by the general growth parameters. To simplify things, we express the weight (biomass) of plant parts simply as a percentage of the total final weight of the plant."												
Internodes (stems)	Biomass	3	9	kInternodeOptimalFinalBiomass	Internode optimal final biomass (as percent of maximum plant biomass)	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0.0001	20	4	TRUE	FALSE	pInternode.OptimalFinalBiomass_pctMPB	1 MFD	"The biomass (dry weight) of a complete or best internode, expressed as a percentage of final plant dry weight."
Internodes (stems)	Timing	3	10	kInternodeMinDaysToCreateInternode	Minimum days for meristem to create internode	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	3	TRUE	FALSE	pInternode.MinDaysToCreateInternode	1 MFD	"The shortest number of days in which a vegetative meristem can create an internode, no matter how much biomass is available. This simulates physical limitations on the rate of growth."
Internodes (stems)	Timing	3	11	kInternodeMaxDaysToCreateInternodeIfOverMinFraction	Maximum days for meristem to create internode	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	10	TRUE	FALSE	pInternode.MaxDaysToCreateInternodeIfOverMinFraction	1 MFD	Days a vegetative meristem will accumulate biomass towards creation of an internode before it gives up and creates the internode. This simulates the plant's concentration of resources on newer meristems.
Internodes (stems)		3	12	kInternodeMinFractionOfOptimalInitialBiomassToCreateInternode_frn	Minimum fraction of optimal biomass needed to create	1 Single	1 None	26 kNonChangingUnitFraction	1 fraction	1 fraction	1 fraction	0	1	0.2	TRUE	FALSE	pInternode.MinFractionOfOptimalInitialBiomassToCreateInternode_frn	1 MFD	The smallest fraction of the optimal (best) amount of internode biomass that must be accumulated before a vegetative meristem can create an internode.
Internodes (stems)		3	13	kInternodeCanRecoverFromStuntingDuringCreation	Can recover from stunting at creation	4 Boolean	1 None	30 kNonChangingUnitBoolean	1 True/False	1 True/False	1 True/False			TRUE	TRUE	FALSE	pInternode.CanRecoverFromStuntingDuringCreation	1 MFD	"If 'yes', the internode attempts to grow after it has been created to achieve the optimal biomass for an internode. If 'no', internodes can never grow in biomass after they are created (though they can expand through water uptake)."
Internodes (stems)		3	14	header	Timing	7 Header	Timing parameters set bounds on how slowly or quickly plant parts can grow to create a realistic growth pattern. These limits effect how many of the plant parts the plant can create during its lifetime (though the general biomass growth curve limits that too).												
Internodes (stems)	Timing	3	15	kInternodeMinDaysToAccumulateBiomass	Minimum days to grow internode	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	3	TRUE	FALSE	pInternode.MinDaysToAccumulateBiomass	1 MFD	"The shortest number of days in which an internode can grow to the optimal internode biomass, no matter how much biomass is available. This simulates physical limitations on the rate of growth."
Internodes (stems)	Timing	3	16	kInternodeMaxDaysToAccumulateBiomass	Maximum days to grow internode	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	10	TRUE	FALSE	pInternode.MaxDaysToAccumulateBiomass	1 MFD	Days an internode will accumulate biomass towards the optimal internode biomass before it gives up and stops growing. This simulates the plant's concentration of resources on newer plant parts.
Internodes (stems)		3	17	header	Bolting	7 Header	"Some plants form a basal rosette (ring of leaves) one year, and in the next year expand and form a large inflorescence. Cabbages do this. These parameters create a simulated bolting plant."												
Internodes (stems)		3	18	kInternodeLengthMultiplierDueToBolting	"Length increase due to bolting, multiplier"	1 Single	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	0	100	0	TRUE	FALSE	pInternode.LengthMultiplierDueToBolting	1 MFD	How much longer internodes become because of bolting. This occurs mainly in plants that flower in the second year such as carrots and cabbages.
Internodes (stems)		3	19	kInternodeBoltingMinDaysToBolt	Days to bolt	2 Smallint	1 None	23 kNonChangingUnitDays	1 days	1 days	1 days	1	50	10	TRUE	FALSE	pInternode.MinDaysToBolt	1 MFD	Days it takes an internode to reach its full bolted length once bolting has begun.
Leaves		4	1	header	Drawing leaf	7 Header	"Leaves are drawn very simply, with 3D mesh objects either created in our own format or imported from DXF."												
Leaves	3D objects	4	2	kLeafObject3D	Leaf 3D object	5 3D object	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			"N[Default 3D object],P[134 245 150],P[113 208 145],P[135 209 150],P[109 171 142],P[136 171 147],P[135 136 138],P[156 208 145],P[159 171 140],T[1 2 3],T[3 2 4],T[3 4 5],T[4 6 5],T[3 7 1],T[7 3 5],T[8 7 5],T[8 5 6]"	FALSE	FALSE	pLeaf.leafTdoParams.object3D	3 3D Object	The 3D object used to draw leaves.
Leaves	3D object scales	4	3	kLeafScaleAtOptimalBiomass	Leaf 3D object scale at optimal leaf biomass	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	30	FALSE	FALSE	pLeaf.leafTdoParams.scaleAtFullSize	1 MFD	The drawing scale of the leaf 3D object when the leaf is fully grown.
Leaves	Rotations	4	4	kLeafObject3DXRotationBeforeDraw	Leaf X rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	90	FALSE	FALSE	pLeaf.leafTdoParams.xRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the X dimension by this amount. For leaves, this will normally be either 90 degrees or -90 degrees. Normally you will leave this at 90 or -90, but you might need to set it differently if you have imported 3D objects from DXF files."
Leaves	Rotations	4	5	kLeafObject3DYRotationBeforeDraw	Leaf Y rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pLeaf.leafTdoParams.yRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Y dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Leaves	Rotations	4	6	kLeafObject3DZRotationBeforeDraw	Leaf Z rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pLeaf.leafTdoParams.zRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Z dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Leaves	Colors	4	7	kLeafFaceColor	Leaf front face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 250 50	FALSE	FALSE	pLeaf.leafTdoParams.FaceColor	1 MFD	The front face (facing up) color for leaves.
Leaves	Colors	4	8	kLeafBackfaceColor	Leaf back face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 150 50	FALSE	FALSE	pLeaf.leafTdoParams.BackfaceColor	1 MFD	The back face (facing down) color for leaves.
Leaves		4	9	header	Compound leaves	7 Header	"Compound leaves are made up of smaller leaflets arrayed on a petiole or leaf stem. For example, walnut trees have compound leaves."												
Leaves		4	10	kLeafCompoundNumLeaflets	Number of leaflets (1 if simple)	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	1	30	0	TRUE	FALSE	pLeaf.CompoundNumLeaflets	1 MFD	"The number of leaflets per leaf. If this parameter is set to one, the plant will have simple leaves. If this parameter is set to greater than one, the plant will have compound leaves."
Leaves		4	11	kLeafCompoundPinnateOrPalmate	Compound leaf shape	6 List of choices	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			0 Pinnate	FALSE	FALSE	pLeaf.CompoundPinnateOrPalmate	1 MFD	"How the leaflets are arranged within each compound leaf. If 'pinnate', compound leaves are arranged like the barbs on a feather. If 'palmate', compound leaves are arranged like the fingers on a hand."
Leaves		4	12	kLeafCompoundPinnateArrangement	"If pinnate, alternate or opposite"	6 List of choices	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			0 Alternate	FALSE	FALSE	pLeaf.compoundPinnateLeafletArrangement	1 MFD	"If 'alternate', leaflets in a pinnate compound leaf are alternate (one to the left, one to the right, etc). If 'opposite', leaflets in a pinnate compound leaf are opposite (in pairs). If compound leaves are palmate, this parameter is not used."
Leaves		4	13	kLeafCompoundRachisToPetioleRatio	Compound leaf spread index	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	30	FALSE	FALSE	pLeaf.CompoundRachisToPetioleRatio	1 MFD	An index of how spread out the compound leaves are within the leaf stalk. The higher the number the greater the spread.
Leaves		4	14	kLeafCompoundBendAngleAtStart	Compound leaf bend angle at start	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-30	30	0	TRUE	FALSE	pLeaf.compoundCurveAngleAtStart	1 MFD	The angle to bend the compound leaf between each leaflet when the leaf is first formed. A greater angle here can form an emerging leaf like a fiddlehead.
Leaves		4	15	kLeafCompoundBendAngleAtFullSize	Compound leaf bend angle at full size	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-30	30	4	TRUE	FALSE	pLeaf.compoundCurveAngleAtFullSize	1 MFD	The angle to bend the compound leaf between each leaflet when the leaf is at full size.
Leaves		4	16	header	Drawing petiole	7 Header	The leaf petiole is the stalk that connects the leaf to the main plant stem.												
Leaves	Angles	4	17	kLeafPetioleAngle	Angle between stem and petiole	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	0	180	40	FALSE	FALSE	pLeaf.PetioleAngle	1 MFD	The pull-down angle between the main stem and the leaf petiole (stalk).
Leaves	Colors	4	18	kLeafPetioleColor	Petiole color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 100 50	FALSE	FALSE	pLeaf.PetioleColor	1 MFD	The color of leaf petioles (stalks).
Leaves	Lengths	4	19	kLeafPetioleLengthAtOptimalBiomass_mm	Petiole length when leaf has optimal biomass	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0	200	30	FALSE	FALSE	pLeaf.PetioleLengthAtOptimalBiomass_mm	1 MFD	The length of the leaf petiole when the leaf has accumulated the optimal (best) amount of biomass for a leaf.
Leaves	Widths	4	20	kLeafPetioleWidthAtOptimalBiomass_mm	Petiole width when leaf has optimal biomass	1 Single	1 None	2 kLength	2 mm	3 cm	6 in	0.1	20	1	FALSE	FALSE	pLeaf.PetioleWidthAtOptimalBiomass_mm	1 MFD	The width of the leaf petiole when the leaf has accumulated the optimal (best) amount of biomass for a leaf.
Leaves		4	21	kLeafPetioleTaperIndex	Petiole taper index (taper to % of width)	2 Smallint	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	100	FALSE	FALSE	pLeaf.petioleTaperIndex	1 MFD	"How much to taper the leaf petiole's width as it reaches the leaf 3D object. For no tapering, choose 100% of initial width (the default). To taper the petiole, choose a lower percentage."
Leaves		4	22	header	Drawing stipule	7 Header	A stipule is an extra modified leaf that can appear at the base of the leaf petiole. These can sometimes be modified into thorns or tendrils.												
Leaves		4	23	kStipuleNumSections	Number of sections in stipule	2 Smallint	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)	1	30	1	FALSE	FALSE	pLeaf.stipuleTdoParams.repetitions	1 MFD	"You can make a leaf stipule with one planar 3D object, in which case it looks sort of like a leaf, or you can make it with one 3D object drawn multiple times and spun around to produce an enclosed three-dimensional structure (like sections of an orange make up an orange). This is useful if you want to draw stipules that look like thorns or spikes. This parameter is the number of times to draw the specified 'section' 3D object to form the leaf stipule structure."
Leaves	3D objects	4	24	kStipuleObject3D	Stipule section 3D object	5 3D object	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			"N[Default 3D object],P[134 245 150],P[113 208 145],P[135 209 150],P[109 171 142],P[136 171 147],P[135 136 138],P[156 208 145],P[159 171 140],T[1 2 3],T[3 2 4],T[3 4 5],T[4 6 5],T[3 7 1],T[7 3 5],T[8 7 5],T[8 5 6]"	FALSE	FALSE	pLeaf.stipuleTdoParams.object3D	3 3D Object	The 3D object used to draw leaf stipules (or stipule sections).
Leaves	3D object scales	4	25	kStipuleScaleAtOptimalLeafBiomass	Stipule section 3D object scale at optimal leaf biomass	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0	100	0	FALSE	FALSE	pLeaf.stipuleTdoParams.scaleAtFullSize	1 MFD	The drawing scale of the leaf stipule (or stipule section) 3D object when the leaf is fully grown.
Leaves	Rotations	4	26	kStipuleObject3DXRotationBeforeDraw	Stipule section X rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	90	FALSE	FALSE	pLeaf.stipuleTdoParams.xRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the X dimension by this amount. For leaf stipules, this will normally be either 90 degrees or -90 degrees. Normally you will leave this at 90 or -90, but you might need to set it differently if you have imported 3D objects from DXF files."
Leaves	Rotations	4	27	kStipuleObject3DYRotationBeforeDraw	Stipule section Y rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pLeaf.stipuleTdoParams.yRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Y dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Leaves	Rotations	4	28	kStipuleObject3DZRotationBeforeDraw	Stipule section Z rotation	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	0	FALSE	FALSE	pLeaf.stipuleTdoParams.zRotationBeforeDraw	1 MFD	"Just before this 3D object is drawn, it will be rotated in the Z dimension by this amount. Normally you will leave this at zero, but you might need to set it differently if you have imported 3D objects from DXF files."
Leaves	Colors	4	29	kStipuleFaceColor	Stipule section front face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 250 50	FALSE	FALSE	pLeaf.stipuleTdoParams.FaceColor	1 MFD	The front face (facing up) color for leaf stipules (or stipule sections).
Leaves	Colors	4	30	kStipuleBackfaceColor	Stipule section back face color	3 Color	1 None	1 kDimensionless	1 (no unit)	1 (no unit)	1 (no unit)			50 150 50	FALSE	FALSE	pLeaf.stipuleTdoParams.BackfaceColor	1 MFD	The back face (facing down) color for leaf stipules (or stipule sections).
Leaves	Angles	4	31	kStipuleAngleFromStem	Angle between stipule and main stem	1 Single	1 None	4 kAngle	2 degrees	2 degrees	2 degrees	-180	180	50	FALSE	FALSE	pLeaf.stipuleTdoParams.pullBackAngle	1 MFD	The angle between the main stem of the plant and the leaf stipule. You will usually want to set this lower than the angle between the main stem and the leaf.
Leaves		4	32	header	Creation and growth	7 Header	"The size of any plant part is determined by an 'optimal' size and the actual conditions of growth. Plant parts compete for the available nutrients, as established by the general growth parameters. To simplify things, we express the weight (biomass) of plant parts simply as a percentage of the total final weight of the plant."												
Leaves	Biomass	4	33	kLeafOptimalBiomass	Optimal biomass (as percent of maximum plant biomass)	1 Single	1 None	27 kNonChangingUnitPercent	1 percent	1 percent	1 percent	0.0001	20	5	TRUE	FALSE	pLeaf.optimalBiomass_pctMPB	1 MFD	"The biomass (dry weight) of a complete or best leaf, expressed as a percentage of final plant dry weight."
